INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,JEWS,V1
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,V1
9,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1
