cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
ENT1ST0001HS0033CN000021,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000021P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000021P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000023,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000023P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000023P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000024,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000024P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000024P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0046CN000014,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000014P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000014P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000015,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000015P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000015P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000016,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000016P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000016P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000017,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
ENT1ST0001HS0046CN000017P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
ENT1ST0001HS0046CN000017P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
ENT1ST0001HS0046CN000018,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
